"Time Stamp","Time Zone","Name","PTID","Load"
"05/26/2001 00:00:00","EDT","CAPITL",61757,985
"05/26/2001 00:00:00","EDT","CENTRL",61754,1461
"05/26/2001 00:00:00","EDT","DUNWOD",61760,443
"05/26/2001 00:00:00","EDT","GENESE",61753,830
"05/26/2001 00:00:00","EDT","HUD VL",61758,970
"05/26/2001 00:00:00","EDT","MHK VL",61756,623
"05/26/2001 00:00:00","EDT","MILLWD",61759,166
"05/26/2001 00:00:00","EDT","N.Y.C._LONGIL",,6217
"05/26/2001 00:00:00","EDT","NORTH",61755,659
"05/26/2001 00:00:00","EDT","WEST",61752,1505
"05/26/2001 00:00:50","EDT","CAP",61757,995
"05/26/2001 00:00:50","EDT","CEN",61754,1455
