timeest,temperaturec,dewpointc,humidity,sealevelpressurehpa,visibilitykm,winddirection,windspeedkmh,gustspeedkmh,precipitationmm,events,conditions,winddirdegrees,dateutc
12:12 AM,6.0,4.0,87,1016.1,16.1,NW,9.3,0,0.0,,Overcast,310,2012-01-01 05:12:00
12:51 AM,6.0,4.0,87,1016.1,16.1,West,16.7,0,0.0,,Overcast,270,2012-01-01 05:51:00
1:51 AM,6.0,3.0,81,1016.8,16.1,WNW,13.0,29.6,0.0,,Overcast,300,2012-01-01 06:51:00
2:51 AM,5.6,3.3,85,1017.5,16.1,NW,13.0,0,0.0,,Overcast,310,2012-01-01 07:51:00
3:25 AM,5.0,3.0,87,1017.5,16.1,Variable,7.4,0,0.0,,Overcast,0,2012-01-01 08:25:00
3:51 AM,5.0,2.8,86,1017.5,16.1,NW,11.1,0,0.0,,Overcast,310,2012-01-01 08:51:00
4:51 AM,3.3,2.2,93,1017.3,16.1,NNW,5.6,0,0.0,,Mostly Cloudy,340,2012-01-01 09:51:00
5:51 AM,2.8,1.7,93,1017.4,16.1,North,7.4,0,0.0,,Scattered Clouds,350,2012-01-01 10:51:00
6:51 AM,-1.1,-1.7,96,1017.6,9.7,Calm,0,0,0.0,Fog,Shallow Fog,0,2012-01-01 11:51:00
7:51 AM,-1.7,-1.7,100,1018.3,12.9,SSW,5.6,0,0.0,Fog,Shallow Fog,200,2012-01-01 12:51:00
8:51 AM,0.6,0.0,96,1018.5,12.9,Calm,0,0,0.0,,Overcast,0,2012-01-01 13:51:00
9:51 AM,3.0,2.0,93,1017.2,12.9,SSE,7.4,0,0.0,,Overcast,160,2012-01-01 14:51:00
10:31 AM,4.0,3.0,93,1016.1,16.1,Calm,0,0,0.0,,Overcast,0,2012-01-01 15:31:00
10:51 AM,4.4,2.8,89,1015.9,16.1,South,9.3,0,0.0,,Overcast,170,2012-01-01 15:51:00
11:51 AM,7.2,2.8,74,1013.4,16.1,SSE,14.8,0,0.0,,Mostly Cloudy,150,2012-01-01 16:51:00
12:51 PM,9.4,2.8,64,1011.4,16.1,South,25.9,38.9,0.0,,Mostly Cloudy,170,2012-01-01 17:51:00
1:51 PM,9.0,2.0,62,1009.4,16.1,SSE,29.6,46.3,0.0,,Mostly Cloudy,160,2012-01-01 18:51:00
2:51 PM,10.0,2.2,59,1007.3,16.1,SSE,27.8,44.4,0.0,,Mostly Cloudy,160,2012-01-01 19:51:00
3:51 PM,10.6,1.7,54,1006.7,16.1,South,18.5,35.2,0.0,,Mostly Cloudy,170,2012-01-01 20:51:00
4:51 PM,10.0,1.7,57,1006.4,16.1,South,33.3,51.9,0.0,,Overcast,170,2012-01-01 21:51:00
5:51 PM,9.4,2.8,64,1005.7,16.1,SSE,25.9,46.3,0.0,,Overcast,160,2012-01-01 22:51:00
6:51 PM,8.9,2.8,66,1005.7,16.1,South,29.6,38.9,0.0,,Overcast,170,2012-01-01 23:51:00
7:51 PM,7.8,3.9,76,1004.7,16.1,South,22.2,42.6,0.0,Rain,Light Rain,170,2012-01-02 00:51:00
8:28 PM,7.0,4.0,81,1003.3,16.1,SSE,22.2,46.3,0.0,,Overcast,160,2012-01-02 01:28:00
8:51 PM,7.2,4.4,82,1004.1,16.1,South,31.5,44.4,0.0,,Overcast,180,2012-01-02 01:51:00
9:51 PM,6.7,5.0,89,1003.3,16.1,South,20.4,48.2,0.0,Rain,Light Rain,180,2012-01-02 02:51:00
10:51 PM,7.2,5.0,86,1002.5,14.5,South,24.1,40.7,0.0,,Overcast,180,2012-01-02 03:51:00
11:39 PM,7.0,6.0,93,1001.9,11.3,South,20.4,33.3,0.0,Rain,Light Rain,180,2012-01-02 04:39:00
11:51 PM,7.0,6.0,93,1001.9,9.7,South,22.2,37.0,0.0,Rain,Light Rain,180,2012-01-02 04:51:00
12:22 AM,5.0,2.0,81,1003.3,14.5,NW,33.3,51.9,0.0,Rain,Light Rain,310,2012-01-02 05:22:00
12:43 AM,4.0,1.0,81,1002.9,12.9,WNW,22.2,46.3,0.0,Rain,Light Rain,290,2012-01-02 05:43:00
12:51 AM,4.0,1.0,81,1002.9,16.1,West,18.5,0,0.0,Rain,Light Rain,280,2012-01-02 05:51:00
1:51 AM,4.4,-0.6,70,1003.2,16.1,West,13.0,0,0.0,,Mostly Cloudy,260,2012-01-02 06:51:00
2:51 AM,3.9,-2.2,65,1003.3,16.1,West,9.3,0,0.0,,Scattered Clouds,270,2012-01-02 07:51:00
3:51 AM,2.2,-2.2,73,1002.9,16.1,Calm,0,0,0.0,,Mostly Cloudy,0,2012-01-02 08:51:00
4:51 AM,1.7,-1.1,82,1002.9,16.1,Calm,0,0,0.0,,Overcast,0,2012-01-02 09:51:00
5:51 AM,1.7,-1.7,78,1002.5,16.1,SW,11.1,0,0.0,,Overcast,230,2012-01-02 10:51:00
6:51 AM,2.8,-4.4,59,1002.8,16.1,West,16.7,31.5,0.0,,Mostly Cloudy,260,2012-01-02 11:51:00
7:51 AM,1.7,-5.0,61,1003.5,16.1,WSW,16.7,0,0.0,,Mostly Cloudy,250,2012-01-02 12:51:00
8:51 AM,2.2,-5.6,57,1003.7,16.1,WSW,22.2,35.2,0.0,,Scattered Clouds,240,2012-01-02 13:51:00
9:51 AM,2.2,-6.1,55,1004.0,16.1,SW,25.9,0,0.0,,Scattered Clouds,230,2012-01-02 14:51:00
10:51 AM,2.2,-6.7,52,1004.1,16.1,West,25.9,38.9,0.0,,Mostly Cloudy,270,2012-01-02 15:51:00
11:51 AM,2.8,-6.7,50,1003.5,16.1,West,38.9,51.9,0.0,,Mostly Cloudy,260,2012-01-02 16:51:00
12:51 PM,2.8,-7.2,48,1003.0,16.1,West,29.6,44.4,0.0,,Mostly Cloudy,270,2012-01-02 17:51:00
1:51 PM,3.3,-7.8,45,1003.0,16.1,West,20.4,0,0.0,,Mostly Cloudy,260,2012-01-02 18:51:00
2:51 PM,2.2,-6.1,55,1004.0,16.1,West,24.1,38.9,0.0,,Mostly Cloudy,260,2012-01-02 19:51:00
3:51 PM,2.2,-7.2,50,1004.4,16.1,WSW,22.2,35.2,0.0,,Scattered Clouds,250,2012-01-02 20:51:00
4:51 PM,1.7,-9.4,44,1005.4,16.1,West,18.5,0,0.0,,Scattered Clouds,260,2012-01-02 21:51:00
5:51 PM,0.6,-8.9,50,1006.2,16.1,WSW,7.4,0,0.0,,Mostly Cloudy,250,2012-01-02 22:51:00
6:51 PM,0.0,-8.3,54,1007.1,16.1,Calm,0,0,0.0,,Mostly Cloudy,0,2012-01-02 23:51:00
7:51 PM,-0.6,-6.7,64,1007.8,16.1,West,16.7,0,0.0,,Mostly Cloudy,260,2012-01-03 00:51:00
8:51 PM,-1.1,-8.3,59,1007.9,16.1,West,13.0,0,0.0,,Mostly Cloudy,280,2012-01-03 01:51:00
9:51 PM,-1.7,-7.8,64,1008.1,16.1,WNW,14.8,33.3,0.0,,Scattered Clouds,290,2012-01-03 02:51:00
10:51 PM,-2.2,-7.2,69,1008.0,16.1,WNW,5.6,0,0.0,,Mostly Cloudy,300,2012-01-03 03:51:00
11:34 PM,-2.0,-6.0,74,1007.7,3.2,NW,22.2,35.2,0.0,Snow,Light Snow,320,2012-01-03 04:34:00
11:36 PM,-3.0,-6.0,80,1007.7,1.6,NW,24.1,35.2,0.0,Snow,Light Snow,310,2012-01-03 04:36:00
11:42 PM,-3.0,-5.0,86,1007.7,1.2,NW,18.5,35.2,0.0,Snow,Light Snow,320,2012-01-03 04:42:00
11:51 PM,-3.3,-5.0,88,1008.2,3.2,NW,13.0,0,0.01,Snow,Light Snow,320,2012-01-03 04:51:00
12:01 AM,-3.0,-6.0,80,1008.0,14.5,NW,14.8,0,0.0,Snow,Light Snow,310,2012-01-03 05:01:00
12:12 AM,-3.0,-7.0,74,1008.0,12.9,WNW,11.1,0,0.0,Snow,Light Snow,300,2012-01-03 05:12:00
12:51 AM,-3.3,-7.8,71,1008.5,14.5,NW,11.1,0,0.0,Snow,Light Snow,320,2012-01-03 05:51:00
1:51 AM,-3.9,-8.9,69,1009.1,16.1,WNW,16.7,0,0.0,,Overcast,290,2012-01-03 06:51:00
2:51 AM,-5.6,-10.6,68,1009.6,16.1,West,13.0,0,0.0,,Scattered Clouds,280,2012-01-03 07:51:00
3:51 AM,-6.1,-9.4,78,1009.4,14.5,NW,7.4,0,0.0,Snow,Light Snow,310,2012-01-03 08:51:00
4:09 AM,-6.0,-9.0,80,1009.0,3.2,WNW,16.7,0,0.0,Snow,Light Snow,300,2012-01-03 09:09:00
4:18 AM,-6.0,-10.0,74,1009.4,9.7,NW,29.6,35.2,0.0,Snow,Light Snow,310,2012-01-03 09:18:00
4:20 AM,-6.0,-10.0,74,1009.4,11.3,NW,25.9,38.9,0.0,Snow,Light Snow,310,2012-01-03 09:20:00
4:51 AM,-6.1,-11.7,65,1009.8,16.1,WNW,22.2,33.3,0.0,,Mostly Cloudy,300,2012-01-03 09:51:00
5:51 AM,-6.7,-12.8,62,1011.0,16.1,WNW,25.9,0,0.0,,Scattered Clouds,290,2012-01-03 10:51:00
6:51 AM,-7.2,-13.3,62,1012.0,16.1,WNW,18.5,0,0.0,,Mostly Cloudy,290,2012-01-03 11:51:00
